STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/4,35,14
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/5,48,13
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/6,40,20
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/7,45,17
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/8,45,22
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/9,44,24
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/10,49,30
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/11,51,20
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/12,56,26
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/13,45,25
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/14,46,27
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/15,40,26
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/16,40,23
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/17,36,19
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/18,41,28
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/19,33,23
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/20,36,21
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/21,37,19
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/22,36,27
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/23,33,27
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/24,29,18
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/25,22,12
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/26,29,7
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/27,30,12
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/2/28,39,20
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/1,45,19
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/2,43,24
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/3,58,27
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/4,51,28
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/5,47,29
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/6,55,20
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/7,58,30
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/8,40,25
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/9,49,27
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/10,55,27
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/11,58,32
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/12,63,37
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/13,53,43
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/14,56,43
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/15,63,33
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/16,70,33
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/17,72,35
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/18,72,43
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/19,70,46
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/20,57,44
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/21,59,34
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/22,62,40
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/23,56,46
CHM00054511,"BEIJING, CH",39.933,116.283,55,1981/3/24,58,42
